data_split,action,bin_left,bin_right,bin_mid,count,fraction
calibration,all,0.92,0.9400000000000001,0.93,1,0.00014285714285714287
calibration,all,0.9400000000000001,0.96,0.95,2,0.00028571428571428574
calibration,all,0.96,0.98,0.97,0,0.0
calibration,all,0.98,1.0,0.99,1,0.00014285714285714287
calibration,walk,0.0,0.02,0.01,2460,0.6208985360928824
calibration,walk,0.02,0.04,0.03,288,0.07269056032306916
calibration,walk,0.04,0.06,0.05,210,0.053003533568904596
calibration,walk,0.06,0.08,0.07,85,0.021453811206461382
calibration,walk,0.08,0.1,0.09,65,0.01640585562847047
calibration,walk,0.1,0.12,0.11,16,0.004038364462392731
calibration,walk,0.12,0.14,0.13,18,0.004543160020191822
calibration,walk,0.14,0.16,0.15000000000000002,11,0.0027763755678950025
calibration,walk,0.16,0.18,0.16999999999999998,14,0.0035335689045936395
calibration,walk,0.18,0.2,0.19,15,0.003785966683493185
calibration,walk,0.2,0.22,0.21000000000000002,35,0.0088339222614841
calibration,walk,0.22,0.24,0.22999999999999998,53,0.01337708228167592
calibration,walk,0.24,0.26,0.25,53,0.01337708228167592
calibration,walk,0.26,0.28,0.27,60,0.01514386673397274
calibration,walk,0.28,0.3,0.29000000000000004,18,0.004543160020191822
calibration,walk,0.3,0.32,0.31,6,0.001514386673397274
calibration,walk,0.32,0.34,0.33,2,0.0005047955577990914
calibration,walk,0.34,0.36,0.35,3,0.000757193336698637
calibration,walk,0.36,0.38,0.37,2,0.0005047955577990914
calibration,walk,0.38,0.4,0.39,76,0.019182231196365473
calibration,walk,0.4,0.42,0.41000000000000003,3,0.000757193336698637
calibration,walk,0.42,0.44,0.43,7,0.0017667844522968198
calibration,walk,0.44,0.46,0.45,14,0.0035335689045936395
calibration,walk,0.46,0.48,0.47,22,0.005552751135790005
calibration,walk,0.48,0.5,0.49,14,0.0035335689045936395
calibration,walk,0.5,0.52,0.51,15,0.003785966683493185
calibration,walk,0.52,0.54,0.53,19,0.004795557799091368
calibration,walk,0.54,0.56,0.55,12,0.003028773346794548
calibration,walk,0.56,0.58,0.5700000000000001,13,0.003281171125694094
calibration,walk,0.58,0.6,0.59,16,0.004038364462392731
calibration,walk,0.6,0.62,0.61,39,0.009843513377082282
calibration,walk,0.62,0.64,0.63,48,0.012115093387178193
calibration,walk,0.64,0.66,0.65,29,0.007319535588086825
calibration,walk,0.66,0.68,0.67,16,0.004038364462392731
calibration,walk,0.68,0.7000000000000001,0.6900000000000001,40,0.010095911155981827
calibration,walk,0.7000000000000001,0.72,0.71,48,0.012115093387178193
calibration,walk,0.72,0.74,0.73,40,0.010095911155981827
calibration,walk,0.74,0.76,0.75,36,0.009086320040383645
calibration,walk,0.76,0.78,0.77,17,0.004290762241292277
calibration,walk,0.78,0.8,0.79,13,0.003281171125694094
calibration,walk,0.8,0.8200000000000001,0.81,5,0.0012619888944977284
calibration,walk,0.8200000000000001,0.84,0.8300000000000001,1,0.0002523977788995457
